"","lfdn","Age","Sex","Education","Work","EmploymentStatus","Income","Living","State","Religion","ReligiousCaste","PoliticalAffiliation","Vote","trust","V4","V10","Selfplacement","Weight","prompt"
"1038",1038,38,"female","lower secondary education","currently","in domestic work",4500,"country village","Uttar Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","moderate trust",4,-8,5,0.2,"I am 38 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1039",1039,51,"female","no education","currently","in paid work",4500,"country village","Uttar Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","moderate trust",3,-8,6,0.92,"I am 51 and I am a female. I have a no education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1040",1040,38,"male","no education","currently","in domestic work",8000,"country village","Uttar Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","moderate trust",2,3,1,1.08,"I am 38 and I am a male. I have a no education. I am in domestic work. My personal income is about 8000. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1041",1041,38,"male","primary education","currently","in domestic work",4500,"country village","Uttar Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","trust",3,2,5,1.08,"I am 38 and I am a male. I have a primary education. I am in domestic work. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1042",1042,28,"female","primary education","currently","in domestic work",4500,"country village","Uttar Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP",NA,2,-8,6,1.48,"I am 28 and I am a female. I have a primary education. I am in domestic work. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have NA in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1043",1043,68,"male","no education","currently","in domestic work",4500,"country village","Uttar Pradesh","Muslim","Sunni","Right / conservative","BJP","little trust",3,3,5,1.74,"I am 68 and I am a male. I have a no education. I am in domestic work. My personal income is about 4500. I am a Muslim. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1044",1044,73,"female","no education","currently","in paid work",4500,"country village","Uttar Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","moderate trust",2,2,5,1.13,"I am 73 and I am a female. I have a no education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1045",1045,42,"male","lower secondary education","currently","in domestic work",8000,"country village","Uttar Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","moderate trust",3,3,6,0.22,"I am 42 and I am a male. I have a lower secondary education. I am in domestic work. My personal income is about 8000. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1046",1046,38,"male","primary education","currently","in domestic work",4500,"country village","Uttar Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","trust",4,3,4,1.08,"I am 38 and I am a male. I have a primary education. I am in domestic work. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"1047",1047,34,"male","no education","currently","in domestic work",4500,"country village","Uttar Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","moderate trust",3,2,6,1.59,"I am 34 and I am a male. I have a no education. I am in domestic work. My personal income is about 4500. I am a Hindu. I live in a country village in Uttar Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
